 Procedimentos hospitalares do SUS - por local de internação - Brasil
Média permanência por Unidade da Federação e Ano/mês atendimento
Período:Jan/2010-Set/2021
"Unidade da Federação";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"Total"
"11 Rondônia";...;...;188,0;...;...;155,0;66,9;36,3;17,6;8,1;4,8;3,7;4,0;3,9;3,9;4,1;4,1;4,0;3,8;4,1;4,1;4,1;3,9;4,3;4,3;4,2;4,3;4,3;4,4;4,3;4,2;4,0;4,2;4,1;4,0;4,5;4,6;4,6;4,3;4,1;4,3;4,0;4,1;4,2;4,3;4,6;4,4;4,7;4,7;4,5;4,4;4,6;4,5;4,5;4,6;4,6;4,6;4,6;4,4;4,5;4,5;4,4;4,3;4,4;4,4;4,4;4,4;4,3;4,3;4,2;4,3;4,7;4,7;4,5;4,7;4,7;4,9;4,7;4,7;4,7;5,0;4,8;4,8;5,0;4,8;4,7;4,7;4,8;4,9;4,7;4,6;4,6;4,8;4,6;4,6;4,9;5,0;4,6;4,7;4,6;4,6;4,8;4,5;4,6;4,7;4,5;4,6;4,7;4,7;4,7;4,4;4,7;4,6;4,6;4,7;4,6;4,5;4,7;4,6;5,0;5,0;4,7;4,6;4,5;4,8;4,8;4,9;4,7;4,7;4,6;4,8;4,8;4,9;4,3;4,8;4,5;4,6;4,7;4,7;4,5;4,5;4,3;4,5;4,8;4,5;4,9;4,7;4,8;4,6;4,5;3,9;3,0;4,5
"12 Acre";307,0;...;...;...;...;59,7;21,9;13,6;7,8;7,2;5,7;4,8;4,4;4,2;4,3;4,4;4,5;4,5;4,4;4,2;4,2;4,4;4,3;4,6;4,5;4,6;4,7;4,5;4,6;4,6;4,9;4,5;4,9;4,6;4,5;4,7;5,1;4,7;4,6;4,7;4,7;4,7;4,4;4,5;4,7;4,8;4,6;4,8;5,0;4,9;4,8;4,6;4,7;4,9;4,6;4,5;4,8;4,6;4,4;5,3;5,0;4,7;4,7;4,5;4,7;4,5;5,0;4,6;4,5;4,8;4,5;5,5;4,9;4,9;5,0;4,9;4,8;4,8;5,0;4,6;4,9;5,2;4,8;5,1;5,1;5,2;5,4;5,6;5,2;5,1;5,2;5,1;5,2;5,5;5,0;5,3;5,7;5,2;4,9;5,0;5,1;5,0;5,2;5,2;5,0;4,8;4,6;4,8;4,9;4,9;4,8;5,0;5,0;4,9;4,8;4,8;4,7;4,9;4,8;5,0;5,0;5,1;5,1;4,6;5,0;4,5;4,9;4,8;4,9;5,2;5,0;5,0;5,0;4,6;4,6;4,6;5,4;5,1;4,7;4,6;4,6;4,7;5,1;5,2;5,3;5,0;4,8;4,5;4,4;4,1;3,1;...;4,8
"13 Amazonas";306,5;...;...;...;...;52,0;31,5;16,2;7,8;6,1;4,8;4,6;4,5;4,5;4,8;4,7;4,8;4,8;4,8;4,8;4,7;4,8;4,5;4,8;4,8;4,9;4,7;4,7;4,8;4,7;4,7;4,8;4,9;4,8;4,6;5,0;4,9;5,1;5,0;5,2;5,1;5,1;5,0;4,9;4,9;4,9;4,7;5,0;5,0;4,9;5,0;5,1;4,9;4,9;4,8;4,8;4,9;4,8;4,7;5,2;5,2;5,2;5,3;4,9;5,1;5,1;5,0;4,8;5,0;5,1;5,0;5,2;5,1;5,1;5,3;5,0;5,1;5,2;5,1;5,1;5,2;5,1;5,0;5,1;5,2;5,2;5,3;5,3;5,2;5,4;5,2;5,1;5,4;5,2;5,4;5,3;5,3;5,1;5,2;5,3;5,3;5,2;5,2;5,2;5,1;5,2;5,1;5,1;5,3;5,2;5,2;5,2;5,4;5,3;5,4;5,2;5,2;5,2;5,2;5,2;5,3;5,3;5,2;5,2;5,2;5,2;5,1;5,0;5,2;5,1;5,1;5,3;5,3;5,0;5,3;5,5;5,5;5,3;5,4;5,3;5,3;5,3;5,2;6,0;5,8;5,7;5,4;5,3;4,9;4,9;4,3;3,6;5,1
"14 Roraima";...;...;...;...;160,0;...;7,0;19,4;11,3;7,1;6,5;5,5;5,1;5,0;4,9;5,0;4,9;5,1;5,0;5,2;5,0;4,9;4,8;5,2;5,3;5,4;5,3;4,6;5,1;5,1;4,9;4,7;5,1;4,9;4,5;4,4;4,9;4,8;4,9;4,8;4,9;5,0;4,8;4,6;4,8;4,7;4,6;4,9;4,9;4,7;4,8;4,8;4,8;4,9;4,7;4,6;5,0;5,0;4,9;4,9;5,1;5,2;5,1;4,9;5,2;5,0;4,8;5,2;5,1;5,8;5,7;5,4;5,6;5,5;5,1;5,1;5,3;5,5;5,2;5,1;5,2;5,5;5,6;5,8;5,4;5,7;5,6;6,0;5,7;5,6;5,1;5,6;5,7;5,3;5,7;5,5;5,3;5,2;5,2;4,9;5,1;5,0;5,1;5,0;4,9;5,1;5,0;5,1;5,1;5,4;5,3;5,3;5,1;5,4;5,6;5,3;5,7;6,0;5,8;5,9;6,3;6,3;5,4;6,0;5,7;5,7;5,5;5,6;5,4;5,8;6,1;6,2;5,8;5,5;5,5;5,8;5,6;5,9;5,9;5,4;5,8;5,8;5,8;6,8;7,0;6,6;6,5;6,6;6,9;6,5;5,9;3,8;5,4
"15 Pará";304,0;...;...;...;...;16,5;23,3;11,5;7,0;5,1;4,2;3,8;3,7;3,7;3,7;3,7;3,7;3,7;3,7;3,7;3,8;3,7;3,7;3,8;3,8;3,8;3,8;3,8;3,7;3,8;3,7;3,7;3,8;3,8;3,7;3,8;3,8;3,8;3,8;3,8;3,8;3,7;3,8;3,8;3,8;3,8;3,8;3,9;3,8;3,7;3,8;3,9;3,8;3,9;3,8;3,6;3,7;3,7;3,7;3,9;3,8;3,8;3,9;3,9;4,0;4,0;3,9;3,9;3,8;3,9;4,0;4,0;4,0;3,9;3,9;4,0;3,9;4,0;3,8;3,8;3,9;3,9;3,9;4,0;3,9;4,0;3,9;4,0;4,0;4,0;4,0;4,1;4,2;4,1;4,1;4,3;4,1;4,1;4,1;4,1;4,1;4,2;4,1;4,1;4,0;4,1;4,0;4,2;4,1;4,1;4,1;4,1;4,2;4,2;4,1;4,1;3,9;4,0;4,1;4,1;4,1;4,1;4,0;3,9;3,8;4,2;4,2;4,0;4,0;4,0;4,1;4,1;4,2;4,1;4,0;4,6;4,5;4,3;4,2;4,1;4,2;4,0;4,1;4,3;4,3;4,6;4,4;4,3;4,0;3,8;3,2;2,4;4,0
"16 Amapá";...;...;...;...;289,0;219,0;102,0;14,9;10,2;6,7;5,3;5,1;5,3;5,0;5,1;4,9;4,6;4,7;4,2;4,1;4,7;4,6;4,6;5,0;4,8;5,0;5,2;5,1;5,1;4,9;5,1;4,7;4,9;4,9;4,8;5,0;4,9;5,0;5,4;5,3;5,4;5,0;5,1;4,9;4,9;4,9;4,8;5,8;5,7;5,3;5,5;5,7;5,4;5,3;5,2;5,0;5,1;5,0;4,5;5,1;5,5;5,1;5,3;5,1;5,7;5,4;5,2;5,1;4,9;5,0;4,4;5,5;5,8;5,2;5,3;5,4;5,4;5,2;5,1;4,9;4,9;5,1;5,1;5,7;5,7;5,4;5,4;5,8;5,4;5,7;5,2;5,3;5,3;5,0;4,8;5,2;5,8;5,2;5,4;5,4;5,5;5,8;4,8;5,0;5,0;4,8;4,5;5,6;5,4;5,5;5,2;5,6;5,7;5,8;5,1;4,8;4,9;5,0;5,0;5,0;5,2;5,4;5,8;5,5;5,8;5,5;5,0;4,9;5,2;4,9;5,0;4,7;5,3;4,8;4,2;5,0;5,1;5,2;5,2;4,8;5,2;4,9;5,4;5,4;5,3;5,8;5,7;5,4;5,2;5,1;4,0;2,9;5,1
"17 Tocantins";307,0;...;...;...;...;...;434,3;17,0;8,8;6,6;5,2;4,6;4,4;4,5;4,4;4,4;4,4;4,6;4,3;4,2;4,5;4,5;4,3;4,5;4,4;4,4;4,4;4,4;4,5;4,6;4,5;4,6;4,3;4,1;4,2;4,5;4,1;4,3;4,1;4,2;4,4;4,5;4,4;4,2;4,3;4,1;4,4;4,3;4,4;4,2;4,1;3,8;3,9;4,0;3,8;3,8;3,7;3,9;4,0;3,9;4,0;3,9;4,1;4,2;4,2;4,3;4,3;4,0;4,3;4,1;4,4;4,4;4,5;4,6;4,5;4,5;4,7;4,6;4,8;4,7;4,7;4,6;4,9;5,4;5,2;5,0;5,0;5,1;5,2;5,2;5,5;5,3;5,3;5,0;5,3;5,3;5,1;5,2;5,2;5,2;5,2;5,3;5,1;5,0;4,9;5,1;5,1;5,4;5,2;5,2;5,3;5,4;5,5;6,0;5,3;5,5;5,6;6,0;5,8;6,0;5,7;5,6;5,7;5,4;5,6;5,8;5,6;5,4;5,5;5,4;5,1;5,7;5,5;5,0;4,9;4,9;5,0;5,2;5,1;5,3;5,3;5,5;5,5;5,7;5,4;5,1;5,0;4,7;4,5;4,4;3,6;2,9;4,7
"21 Maranhão";781,3;...;...;...;2823,5;1704,0;82,4;31,8;14,5;8,1;5,7;4,5;4,5;4,5;4,4;4,5;4,3;4,5;4,5;4,2;4,3;4,2;4,2;4,4;4,4;4,4;4,7;4,5;4,4;4,6;4,6;4,5;4,3;4,3;4,3;4,6;4,4;4,3;4,3;4,4;4,3;4,4;4,4;4,1;4,3;4,5;4,6;5,6;4,6;4,3;4,3;4,4;4,4;4,4;4,3;4,2;4,4;4,3;4,4;4,6;4,7;4,6;4,5;4,4;4,5;4,5;4,4;4,3;4,7;4,7;4,6;5,5;4,4;4,4;4,6;4,8;4,5;4,6;4,5;4,5;4,5;4,6;4,6;4,9;4,7;4,6;4,7;4,8;4,8;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,9;4,8;4,7;4,7;4,6;4,6;4,7;4,6;4,6;4,4;4,4;4,7;4,8;4,7;4,4;4,4;4,4;4,4;4,3;4,3;4,4;4,3;4,4;4,6;4,5;4,5;4,5;4,5;4,6;4,8;4,6;4,6;4,5;4,5;4,5;4,7;4,7;4,8;4,6;4,9;5,2;5,0;4,9;4,9;4,7;4,7;4,9;4,9;4,8;5,0;5,2;5,1;5,0;4,9;4,4;3,1;4,6
"22 Piauí";608,0;...;...;...;...;110,0;28,0;10,8;8,8;7,4;6,3;4,3;4,2;4,0;4,1;4,0;4,0;3,9;4,0;3,8;4,3;3,9;3,9;5,9;4,0;4,1;4,3;4,0;4,0;4,1;4,0;4,0;4,0;3,9;4,0;4,2;4,1;4,1;4,1;4,0;4,1;4,1;4,1;4,0;4,3;4,1;4,0;4,3;4,5;4,2;4,3;4,2;4,3;4,4;4,4;4,2;4,3;4,4;4,1;4,7;4,3;4,4;4,5;4,5;4,5;4,7;4,6;4,2;4,6;4,3;4,8;4,8;4,7;4,4;4,6;4,3;4,5;4,5;4,5;4,3;4,4;4,4;4,5;4,7;4,4;4,6;4,6;4,4;4,4;4,4;4,4;4,4;4,5;4,6;4,6;4,7;4,7;4,6;4,7;4,8;4,9;4,8;4,8;4,6;4,8;4,7;4,5;4,8;4,9;4,8;4,9;4,8;4,7;4,8;4,9;4,8;5,0;4,7;4,7;4,9;5,0;5,0;4,9;4,9;4,9;4,9;4,7;4,7;4,7;4,7;4,7;4,7;4,8;4,5;4,6;4,7;4,8;4,9;4,9;4,9;4,9;4,9;4,9;4,8;4,9;5,1;5,2;5,0;4,7;4,5;4,5;3,5;4,5
"23 Ceará";459,0;...;...;...;3029,0;245,7;236,0;22,1;10,5;9,4;7,2;5,1;4,9;4,8;5,0;5,0;5,0;5,0;5,1;5,0;5,2;5,1;5,2;5,1;5,2;5,0;5,0;5,2;5,3;5,3;5,2;5,1;5,2;5,0;5,1;5,1;5,2;5,0;6,2;5,2;5,2;5,1;5,2;5,1;5,4;5,3;5,3;5,5;5,4;5,2;5,2;5,2;5,4;5,2;5,3;5,2;5,3;5,3;5,4;5,5;5,4;5,5;5,5;5,4;5,5;5,5;5,5;5,4;5,6;5,5;6,5;5,8;5,7;5,6;5,6;5,6;5,6;5,7;6,1;5,7;5,9;5,8;5,7;5,7;5,6;5,6;5,5;5,5;5,7;5,6;5,6;5,4;5,7;5,6;5,6;5,7;5,7;5,7;5,8;5,6;5,7;5,8;5,6;5,7;5,7;5,6;5,7;5,7;5,7;5,5;5,6;5,5;5,5;5,6;5,6;5,4;5,5;5,5;5,6;5,7;5,8;5,6;5,5;5,7;5,6;5,7;5,5;5,6;5,6;5,7;5,7;5,7;5,7;5,3;5,5;5,7;5,8;5,8;5,7;5,7;5,6;5,6;5,8;5,8;5,7;6,1;6,1;6,0;5,7;5,6;5,0;3,6;5,5
